# BUSCO version is: 5.4.3 
# The lineage dataset is: fabales_odb10 (Creation date: 2020-08-05, number of genomes: 10, number of BUSCOs: 5366)
# Busco id	Status	Sequence	Score	Length
90at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_19G053814.1	3551.4	1861
92at72025	Fragmented	glyma.Hwangkeum.gnm1.ann1.GmHk_14G041197.2	2163.4	1040
94at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G019216.1	3732.5	1913
94at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G007469.1	3684.1	1920
95at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_04G009198.1	3784.2	1774
95at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_06G014826.1	3766.4	1775
99at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_03G007901.1	3331.8	1649
100at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G033532.1	3758.6	1813
100at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G026901.3	3686.6	1801
103at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G053706.1	3360.0	1846
103at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037896.3	3209.9	1803
105at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_14G040196.1	3267.5	1585
107at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G023870.1	3299.3	1642
107at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_18G051361.1	3289.8	1671
107at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_18G051382.1	2893.0	1579
109at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008813.1	3115.7	1648
110at72025	Missing
111at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G019319.1	3260.2	1716
111at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_18G052445.1	3188.9	1711
112at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_06G016935.1	3260.4	1668
113at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G030862.1	3306.3	1649
113at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002746.1	3153.3	1621
116at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_06G017765.1	3369.7	1592
116at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G034544.1	3328.9	1550
118at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G005113.1	3796.9	1947
118at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G028189.1	3652.0	1936
121at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G043067.1	3275.8	1571
121at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038520.1	3240.9	1569
128at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037338.1	3258.4	1607
128at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047850.1	3251.4	1592
133at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047805.1	3337.1	1848
134at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_04G009859.1	3304.8	1705
134at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_06G015486.2	3202.8	1687
139at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_12G033726.1	3473.3	1766
143at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G007834.1	3246.4	1452
143at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G055342.1	3244.7	1452
144at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_14G040020.1	3450.4	1641
147at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G004246.2	3269.0	1700
147at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G020300.2	3183.4	1708
155at72025	Missing
157at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_19G055850.2	2826.3	1396
163at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G004808.3	3117.9	1656
163at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G025496.1	3053.7	1656
165at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G004285.2	2889.2	1397
165at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G020262.1	2780.7	1404
169at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_09G025766.1	2984.3	1408
172at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_02G005510.1	3391.5	1708
175at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_02G005386.2	2963.0	1442
176at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_06G015749.1	1824.6	858
183at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G044899.1	3136.0	1577
183at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038122.1	3083.0	1578
185at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_15G045315.1	2878.3	1460
186at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047859.2	2949.8	1513
186at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037330.1	2904.3	1580
187at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G018479.1	3040.5	1528
187at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045483.1	2996.0	1524
188at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G024668.3	2793.7	1440
188at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G043685.1	2770.9	1443
204at72025	Missing
206at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_10G028665.1	2713.7	1454
211at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G012249.1	2734.1	1435
211at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G048330.1	2711.7	1435
213at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G036738.1	3060.6	1550
213at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G053897.2	2995.0	1546
217at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_08G021788.1	3043.8	1723
219at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038785.1	2699.5	1544
225at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_20G056737.1	2734.8	1245
231at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G026184.3	2705.4	1259
231at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G047328.1	2678.7	1259
233at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_19G053653.1	3128.9	1641
234at72025	Missing
237at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_15G044241.1	2892.5	1477
238at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037770.1	2844.0	1419
238at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G048408.2	2836.6	1422
240at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_06G015655.4	3240.4	1936
240at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_04G010111.3	3204.3	1781
250at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G018291.1	2509.7	1356
250at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G022791.1	2477.3	1342
252at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_20G058638.1	2678.6	1362
252at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G029948.2	2616.4	1351
260at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031218.1	2433.0	1278
260at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002381.4	2379.1	1271
260at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G003538.4	2109.6	1269
276at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G027817.1	2680.8	1356
276at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037544.1	2656.7	1355
279at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_18G050426.1	2754.3	1555
279at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G033398.3	2693.6	1548
280at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G007765.1	2932.2	1487
280at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G055290.4	2926.9	1454
285at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047810.1	2682.6	1307
285at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G020543.1	2665.1	1293
286at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_11G030957.2	2956.2	1834
288at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_10G029737.1	2669.7	1316
296at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G014368.1	2399.7	1250
296at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G021099.1	2377.1	1240
297at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G029900.1	2639.3	1466
297at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_20G058688.1	2628.9	1506
300at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G039378.1	2482.6	1228
300at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G042722.1	2458.6	1201
303at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_18G053487.1	2714.6	1457
306at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_03G006539.7	2436.0	1295
310at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_18G052383.1	2991.0	1786
314at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008956.1	2679.6	1192
314at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G056439.1	2672.4	1192
329at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_11G030765.1	2757.9	1307
337at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G056012.1	2384.1	1205
337at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008527.1	2370.5	1211
345at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045378.1	2297.6	1136
352at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047595.1	2361.7	1323
352at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G020783.1	2353.1	1324
354at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031019.1	2656.5	1147
354at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002593.1	2656.2	1147
358at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G043292.1	2499.7	1218
358at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038289.1	2483.1	1215
363at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G012180.1	2568.9	1363
363at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G048147.1	2554.8	1348
367at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_18G050960.1	2357.2	1139
370at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G035857.1	2290.0	1099
370at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038844.1	2277.7	1101
371at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_02G004465.1	2485.4	1217
372at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_07G018943.1	2451.9	1231
375at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_08G021552.1	2367.4	1125
377at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G029461.1	2469.3	1270
377at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_20G059140.1	2225.0	1224
389at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G024727.1	1849.0	975
389at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G043734.1	1833.8	977
390at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045419.1	2568.3	1265
397at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047473.1	2367.4	1215
413at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G028784.1	2288.6	1142
413at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_20G057515.1	2271.1	1161
417at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047599.1	2376.6	1157
417at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G020778.1	2376.4	1157
420at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_19G056164.1	2277.2	1170
422at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G006170.1	2136.3	1099
422at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_14G039770.1	2081.4	1099
428at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G033690.1	2226.5	1057
428at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031496.1	2210.2	1057
435at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_09G026500.1	2380.3	1200
442at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_10G030560.1	2272.4	1139
444at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002885.1	2277.0	1038
444at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G030731.1	2269.0	1029
448at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G048339.2	2097.4	1092
450at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G049825.1	2223.8	1057
454at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_07G020900.1	2482.5	1126
454at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047478.1	2475.8	1135
455at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_15G043154.1	2520.5	1118
455at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038426.1	2517.9	1118
456at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031507.2	2485.4	1445
456at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G033701.1	2397.9	1523
460at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_19G056049.2	2533.4	1475
467at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G027242.2	2265.3	1033
467at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_18G052842.3	2244.7	1032
467at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G047445.1	2086.1	1035
469at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G004116.1	2561.4	1373
469at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G000680.1	2503.6	1372
470at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_11G032437.1	2246.1	1126
470at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_04G010538.1	2173.2	1121
474at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038123.1	2035.2	976
476at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045798.1	2435.3	1383
476at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G054977.1	2432.0	1389
477at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_04G011932.1	2135.5	1131
477at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_06G015670.1	2100.5	1130
483at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_02G004458.1	2186.6	1072
489at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G006746.2	2284.6	1192
489at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G001702.2	2269.8	1205
504at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008655.1	2234.4	1073
504at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G056140.1	2230.6	1071
523at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_14G041976.1	2204.2	1065
523at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G005326.1	2190.1	1067
528at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G022060.1	1870.8	843
528at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G013994.1	1783.7	847
532at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_01G000961.1	2269.3	1388
546at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047866.1	2571.4	1474
546at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037320.2	2461.8	1463
547at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_11G031960.1	1741.0	902
548at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038084.1	2057.3	1013
548at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G049324.1	2021.6	976
555at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G000079.1	2273.2	1090
555at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G046000.1	2271.5	1090
561at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045948.1	1856.2	945
562at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_06G015508.1	2123.3	1177
562at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_04G009886.1	2013.1	1125
564at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008707.2	2492.3	1112
576at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_12G033949.1	2143.8	1056
579at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_18G052900.1	2293.5	1156
580at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G047697.1	2067.3	949
586at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_18G053052.2	1968.9	967
586at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G027091.3	1959.3	975
593at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_13G038967.4	2083.0	948
593at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G035720.1	1979.6	950
597at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002990.1	2068.2	1038
606at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_14G039760.1	2014.1	1031
606at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G006178.3	2002.4	1046
607at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045319.1	2105.4	982
607at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_12G035274.2	2090.8	982
608at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_13G037787.1	2247.6	1093
620at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G055863.1	2009.0	1002
620at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008365.3	1747.2	866
622at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_20G058714.1	2185.0	1312
622at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G029869.1	2139.1	1321
629at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G005868.1	2058.0	1063
629at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_14G040082.1	2053.9	1062
635at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G046620.1	2071.2	1046
635at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G026573.1	2028.2	1049
646at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_20G057877.1	2126.7	1019
646at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G029197.1	2063.8	1025
646at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G056206.3	1906.1	1017
654at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_19G053826.1	2168.2	1101
659at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G014449.1	2159.8	1042
659at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G021178.1	2104.2	1035
662at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_08G021269.1	2044.8	1112
662at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_05G014534.1	1995.1	1108
666at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_03G008307.1	2102.5	1309
667at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_07G018410.1	1891.6	924
668at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_11G033471.1	2313.0	1168
672at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_14G039726.2	2036.4	974
672at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_02G006209.1	2033.9	990
675at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_09G027340.1	2207.0	1162
679at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_18G050344.1	1393.5	966
686at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_19G054719.1	2316.6	1060
686at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_16G045862.1	2306.8	1058
688at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_20G059077.1	1978.8	895
688at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_10G029498.1	1977.2	895
700at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_17G049735.1	2044.9	1197
705at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_14G042395.1	1878.3	1038
710at72025	Complete	glyma.Hwangkeum.gnm1.ann1.GmHk_15G042837.1	1957.4	928
712at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_17G050070.1	1995.3	1073
712at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_14G040484.1	1994.0	1072
715at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_01G002069.1	1886.0	930
715at72025	Duplicated	glyma.Hwangkeum.gnm1.ann1.GmHk_09G026548.1	1859.0	933
